variable,lead_time_step,model_name,rmse
t2m,1,backbone_epoch_6,0.7390576820799758
t2m,1,backbone,0.7415462858850064
t2m,1,pruned_1_layers_epoch_6,0.7449048834140074
t2m,2,backbone,0.8226299182662751
t2m,2,backbone_epoch_6,0.8284430880120347
t2m,2,pruned_1_layers_epoch_6,0.8399692670593049
t2m,3,backbone,0.8749871467078865
t2m,3,backbone_epoch_6,0.8955917967764359
t2m,3,pruned_1_layers_epoch_6,0.9107266068458556
t2m,4,backbone,0.9333545725438848
t2m,4,backbone_epoch_6,0.9638187931902582
t2m,4,pruned_1_layers_epoch_6,0.986304732674327
t2m,5,backbone,0.9881911580789022
t2m,5,backbone_epoch_6,1.0323058936183014
t2m,5,pruned_1_layers_epoch_6,1.0930318189732855
t2m,6,backbone,1.04864101336655
t2m,6,backbone_epoch_6,1.1012810262221864
t2m,6,pruned_2_layers_epoch_6,1.181275712711185
t2m,7,backbone,1.0967049472158847
t2m,7,backbone_epoch_6,1.1644266490829724
t2m,7,pruned_2_layers_epoch_6,1.274291806380842
t2m,8,backbone,1.156690362445469
t2m,8,backbone_epoch_6,1.2315917055034105
t2m,8,pruned_2_layers_epoch_6,1.4160891911171003
t2m,9,backbone,1.2132152911671048
t2m,9,backbone_epoch_6,1.302139659167668
t2m,9,pruned_2_layers_epoch_6,1.6197538009568966
t2m,10,backbone,1.2778140193257252
t2m,10,backbone_epoch_6,1.3725577253203152
t2m,10,pruned_4_layers_epoch_6,1.769828143732508
t2m,11,backbone,1.33864154229617
t2m,11,backbone_epoch_6,1.445510381426891
t2m,11,pruned_4_layers_epoch_6,1.95167720384438
t2m,12,backbone,1.4080131952989037
t2m,12,backbone_epoch_6,1.5188937899786668
t2m,12,pruned_4_layers_epoch_6,2.168714792368798
t2m,13,backbone,1.4763547801438657
t2m,13,backbone_epoch_6,1.597951916343007
t2m,13,pruned_4_layers_epoch_6,2.426668204408784
t2m,14,backbone,1.5495397844794077
t2m,14,backbone_epoch_6,1.6739885713801037
t2m,14,pruned_4_layers_epoch_6,2.70766886119736
t2m,15,backbone,1.6219221293593251
t2m,15,backbone_epoch_6,1.7555610694032808
t2m,15,pruned_4_layers_epoch_6,3.0071842270856464
t2m,16,backbone,1.697380506792548
t2m,16,backbone_epoch_6,1.8324057323306635
t2m,16,pruned_4_layers_epoch_6,3.3130994775441773
t2m,17,backbone,1.770435988570059
t2m,17,backbone_epoch_6,1.9139163201081688
t2m,17,pruned_4_layers_epoch_6,3.621302820450767
t2m,18,backbone,1.8484467454462743
t2m,18,backbone_epoch_6,1.9923561858065304
t2m,18,pruned_4_layers_epoch_6,3.9223088152581753
t2m,19,backbone,1.9226100604627383
t2m,19,backbone_epoch_6,2.0746174477998105
t2m,19,pruned_4_layers_epoch_6,4.215181417305376
t2m,20,backbone,2.000409933441844
t2m,20,backbone_epoch_6,2.152461067258313
t2m,20,pruned_4_layers_epoch_6,4.498050657730529
t2m,21,backbone,2.0732400530543407
t2m,21,backbone_epoch_6,2.233026716296233
t2m,21,pruned_4_layers_epoch_6,4.773339501972305
t2m,22,backbone,2.148724086457791
t2m,22,backbone_epoch_6,2.311989463241406
t2m,22,pruned_4_layers_epoch_6,5.039429861740027
t2m,23,backbone,2.219700020118798
t2m,23,backbone_epoch_6,2.3971909411126675
t2m,23,pruned_4_layers_epoch_6,5.298494485503468
t2m,24,backbone,2.293268286982062
t2m,24,backbone_epoch_6,2.492360835634796
t2m,24,pruned_4_layers_epoch_6,5.550117900251676
t2m,25,backbone,2.3614596548027165
t2m,25,backbone_epoch_6,2.610212818870332
t2m,25,pruned_4_layers_epoch_6,5.794912146456415
t2m,26,backbone,2.4293229832995538
t2m,26,backbone_epoch_6,2.7359781025508263
t2m,26,pruned_4_layers_epoch_6,6.034171123078416
t2m,27,backbone,2.49280796770277
